id;sentencas;documento
1;['A inteligência artificial está transformando a sociedade moderna em um ritmo sem precedentes.'];A inteligência artificial está transformando a sociedade moderna em um ritmo sem precedentes.
2;['O desenvolvimento de novos modelos de linguagem exige um poder computacional gigantesco.'];O desenvolvimento de novos modelos de linguagem exige um poder computacional gigantesco.
3;['A empresa OpenAI foi fundada com o objetivo de desenvolver inteligência artificial de forma segura.'];A empresa OpenAI foi fundada com o objetivo de desenvolver inteligência artificial de forma segura.
4;['A computação quântica promete resolver problemas que os computadores clássicos demorariam séculos para processar.'];A computação quântica promete resolver problemas que os computadores clássicos demorariam séculos para processar.
5;['Steve Jobs foi um dos principais fundadores da Apple e revolucionou a indústria de smartphones com o lançamento do iPhone.'];Steve Jobs foi um dos principais fundadores da Apple e revolucionou a indústria de smartphones com o lançamento do iPhone.
6;['O Google é a ferramenta de busca mais utilizada no planeta, processando bilhões de consultas diárias.'];O Google é a ferramenta de busca mais utilizada no planeta, processando bilhões de consultas diárias.
7;['A segurança da informação tornou-se uma prioridade máxima para governos e empresas no século vinte e um.'];A segurança da informação tornou-se uma prioridade máxima para governos e empresas no século vinte e um.
8;['A linguagem de programação Python cresceu exponencialmente graças à sua forte comunidade de desenvolvedores.'];A linguagem de programação Python cresceu exponencialmente graças à sua forte comunidade de desenvolvedores.
9;['O uso de redes neurais profundas permitiu grandes avanços no reconhecimento de imagens e voz.'];O uso de redes neurais profundas permitiu grandes avanços no reconhecimento de imagens e voz.
10;['Elon Musk adquiriu a rede social Twitter e promoveu diversas mudanças polêmicas na plataforma.'];Elon Musk adquiriu a rede social Twitter e promoveu diversas mudanças polêmicas na plataforma.
11;['A realidade virtual e a realidade aumentada estão criando novas formas de interação no metaverso.'];A realidade virtual e a realidade aumentada estão criando novas formas de interação no metaverso.
12;['O armazenamento em nuvem reduziu drasticamente a necessidade de servidores físicos dentro das empresas.'];O armazenamento em nuvem reduziu drasticamente a necessidade de servidores físicos dentro das empresas.
13;['A Microsoft continua sendo uma gigante do software corporativo com o seu popular sistema operacional Windows.'];A Microsoft continua sendo uma gigante do software corporativo com o seu popular sistema operacional Windows.
14;['A tecnologia 5G permite conexões de internet móvel com velocidades ultra rápidas e baixíssima latência.'];A tecnologia 5G permite conexões de internet móvel com velocidades ultra rápidas e baixíssima latência.
15;['A inteligência artificial generativa consegue criar textos, imagens e até músicas que parecem feitas por humanos.'];A inteligência artificial generativa consegue criar textos, imagens e até músicas que parecem feitas por humanos.
16;['O Vale do Silício, localizado na Califórnia, é o maior polo de inovação tecnológica do mundo.'];O Vale do Silício, localizado na Califórnia, é o maior polo de inovação tecnológica do mundo.
17;['A automação de processos industriais está substituindo gradativamente o trabalho manual em fábricas de grande porte.'];A automação de processos industriais está substituindo gradativamente o trabalho manual em fábricas de grande porte.
18;['O Linux é um sistema operacional de código aberto amplamente utilizado em servidores e supercomputadores.'];O Linux é um sistema operacional de código aberto amplamente utilizado em servidores e supercomputadores.
19;['A Amazon começou vendendo livros online e hoje domina o comércio eletrônico e a infraestrutura na nuvem.'];A Amazon começou vendendo livros online e hoje domina o comércio eletrônico e a infraestrutura na nuvem.
20;['O conceito de Internet das Coisas conecta geladeiras, carros e relógios à rede mundial de computadores.'];O conceito de Internet das Coisas conecta geladeiras, carros e relógios à rede mundial de computadores.
21;['A criptomoeda Bitcoin foi introduzida como um sistema de pagamento eletrônico descentralizado e independente de bancos centrais.'];A criptomoeda Bitcoin foi introduzida como um sistema de pagamento eletrônico descentralizado e independente de bancos centrais.
22;['Os avanços na biotecnologia permitem a edição genética de forma cada vez mais precisa e acessível.'];Os avanços na biotecnologia permitem a edição genética de forma cada vez mais precisa e acessível.
23;['A análise de big data ajuda as corporações a entenderem melhor os padrões de comportamento dos consumidores.'];A análise de big data ajuda as corporações a entenderem melhor os padrões de comportamento dos consumidores.
24;['A Agência Espacial Americana, a NASA, planeja enviar astronautas de volta à Lua nos próximos anos.'];A Agência Espacial Americana, a NASA, planeja enviar astronautas de volta à Lua nos próximos anos.
25;['Os carros autônomos utilizam milhares de sensores e câmeras para navegar com segurança no trânsito urbano.'];Os carros autônomos utilizam milhares de sensores e câmeras para navegar com segurança no trânsito urbano.
26;['O comércio de dados pessoais gerou intensos debates sobre privacidade e ética na internet.'];O comércio de dados pessoais gerou intensos debates sobre privacidade e ética na internet.
27;['A robótica tem avançado na área médica, permitindo cirurgias de altíssima precisão de forma remota.'];A robótica tem avançado na área médica, permitindo cirurgias de altíssima precisão de forma remota.
28;['O algoritmo de recomendação do TikTok revolucionou a forma como consumimos vídeos curtos nas redes sociais.'];O algoritmo de recomendação do TikTok revolucionou a forma como consumimos vídeos curtos nas redes sociais.
29;['O trabalho remoto ganhou força global após a pandemia, acelerando a adoção de softwares de videochamada como o Zoom.'];O trabalho remoto ganhou força global após a pandemia, acelerando a adoção de softwares de videochamada como o Zoom.
30;['A corrida espacial comercial tem empresas como a SpaceX competindo ativamente por contratos governamentais.'];A corrida espacial comercial tem empresas como a SpaceX competindo ativamente por contratos governamentais.
31;['A impressão em três dimensões está revolucionando a manufatura de peças de engenharia e até de próteses médicas.'];A impressão em três dimensões está revolucionando a manufatura de peças de engenharia e até de próteses médicas.
32;['Os smartwatches monitoram a saúde em tempo real, enviando alertas sobre batimentos cardíacos anormais.'];Os smartwatches monitoram a saúde em tempo real, enviando alertas sobre batimentos cardíacos anormais.
33;['O streaming de vídeo sob demanda, popularizado pela Netflix, mudou completamente a indústria do entretenimento televisivo.'];O streaming de vídeo sob demanda, popularizado pela Netflix, mudou completamente a indústria do entretenimento televisivo.
34;['A inteligência artificial já consegue detectar tumores em exames de imagem com maior precisão que os próprios médicos.'];A inteligência artificial já consegue detectar tumores em exames de imagem com maior precisão que os próprios médicos.
35;['A educação a distância foi massificada com o uso de plataformas interativas e ferramentas tecnológicas educacionais.'];A educação a distância foi massificada com o uso de plataformas interativas e ferramentas tecnológicas educacionais.
